title,link,record_url,image_link,image_filename,date,tirage
Album title to be added,https://cds.cern.ch/record/2783059?ln=en,https://cds.cern.ch/record/2783059?ln=en,https://cds.cern.ch/record/1866806/files/74-10-332.jpg?subformat=icon-180,74-10-332,8 Oct 1974,2
ISR vacuum bakeout equipment,https://cds.cern.ch/record/2783053?ln=en,https://cds.cern.ch/record/2783053?ln=en,https://cds.cern.ch/record/2379329/files/icon180-1969-11_X_CERN_14227_0034.jpg?subformat=icon-180,icon180-1969-11_X_CERN_14227_0034,Dec 1969,2
Position and Master/Slave control rack,https://cds.cern.ch/record/2783052?ln=en,https://cds.cern.ch/record/2783052?ln=en,https://cds.cern.ch/record/1768542/files/69-12-054.jpg?subformat=icon-180,69-12-054,Dec 1969,1
Control unit for fast motor and electronic circuit boards,https://cds.cern.ch/record/2782997?ln=en,https://cds.cern.ch/record/2782997?ln=en,https://cds.cern.ch/record/1769614/files/69-10-056.jpg?subformat=icon-180,69-10-056,Oct 1969,2
Vacuum chamber for luminescent screen beam monitor,https://cds.cern.ch/record/2782944?ln=en,https://cds.cern.ch/record/2782944?ln=en,https://cds.cern.ch/record/1868401/files/75-3-157.jpg?subformat=icon-180,75-3-157,Mar 1975,7
Magnetic septum model and components,https://cds.cern.ch/record/2782937?ln=en,https://cds.cern.ch/record/2782937?ln=en,https://cds.cern.ch/record/1797200/files/70-4-029_a.jpg?subformat=icon-180,70-4-029_a,Apr 1970,7
Damaged thread,https://cds.cern.ch/record/2782936?ln=en,https://cds.cern.ch/record/2782936?ln=en,https://cds.cern.ch/record/1797199/files/70-4-028.jpg?subformat=icon-180,70-4-028,Apr 1970,1
Album title to be added,https://cds.cern.ch/record/2782929?ln=en,https://cds.cern.ch/record/2782929?ln=en,https://cds.cern.ch/record/1797193/files/70-4-019.jpg?subformat=icon-180,70-4-019,Apr 1970,6
Cryogenic vacuum pump,https://cds.cern.ch/record/2782925?ln=en,https://cds.cern.ch/record/2782925?ln=en,https://cds.cern.ch/record/41405/files/7004014.jpg?subformat=icon-180,7004014,Apr 1970,5
Album title to be added,https://cds.cern.ch/record/2782924?ln=en,https://cds.cern.ch/record/2782924?ln=en,https://cds.cern.ch/record/1797186/files/70-4-012.jpg?subformat=icon-180,70-4-012,Apr 1970,2
Sputter ion pumps in the PS,https://cds.cern.ch/record/2782880?ln=en,https://cds.cern.ch/record/2782880?ln=en,https://cds.cern.ch/record/1769562/files/69-11-254.jpg?subformat=icon-180,69-11-254,Nov 1969,2
Schematic drawing of a septum magnet,https://cds.cern.ch/record/2782665?ln=en,https://cds.cern.ch/record/2782665?ln=en,https://cds.cern.ch/record/2379314/files/icon640-1969-11_X_CERN_14227_0019.jpg?subformat=icon-640,icon640-1969-11_X_CERN_14227_0019,,1
Test of ISR vacuum equipment,https://cds.cern.ch/record/2782662?ln=en,https://cds.cern.ch/record/2782662?ln=en,https://cds.cern.ch/record/2379326/files/icon180-1969-11_X_CERN_14227_0031.jpg?subformat=icon-180,icon180-1969-11_X_CERN_14227_0031,Dec 1969,6
Quadrupole magnet tests,https://cds.cern.ch/record/2782660?ln=en,https://cds.cern.ch/record/2782660?ln=en,https://cds.cern.ch/record/2379316/files/icon1440-1969-11_X_CERN_14227_0021.jpg?subformat=icon-1440,icon1440-1969-11_X_CERN_14227_0021,Nov 1969,6
Wide-band exponential stripline monitor,https://cds.cern.ch/record/2782495?ln=en,https://cds.cern.ch/record/2782495?ln=en,https://cds.cern.ch/record/2383782/files/icon640-1975-04_X_CERN_14160_0087.jpg?subformat=icon-640,icon640-1975-04_X_CERN_14160_0087,Apr 1975,4
Pile of cables,https://cds.cern.ch/record/2782489?ln=en,https://cds.cern.ch/record/2782489?ln=en,https://cds.cern.ch/record/1764454/files/69-9-119.jpg?subformat=icon-180,69-9-119,Sep 1969,1
Preparation of the installation of the extraction septa in the SPS tunnel,https://cds.cern.ch/record/2782465?ln=en,https://cds.cern.ch/record/2782465?ln=en,https://cds.cern.ch/record/2383653/files/icon640-1975-03_X_CERN_14159_0001.jpg?subformat=icon-640,icon640-1975-03_X_CERN_14159_0001,Mar 1975,5
